is_red_wine,alcohol,density,volatile acidity,chlorides,quality_label
0,12.2,0.9942,0.17,0.045,0
1,10.5,0.9976,0.29,0.059,0
1,10.7,0.9962,0.705,0.076,1
0,10.1,0.9957,0.28,0.048,1
0,13.6,0.99164,0.38,0.03,0
0,10.1,0.9951,0.28,0.05,0
0,10.4,0.9942,0.21,0.039,1
1,9.6,0.9965,0.745,0.09,1
0,10.0,0.99218,0.14,0.022,0
0,10.1333333333333,0.99362,0.17,0.036,0
0,10.2,0.99204,0.17,0.042,1
0,10.8,0.9944,0.29,0.042,0
1,9.5,0.9979,0.47,0.074,1
0,10.6,0.9946,0.11,0.048,0
0,12.8,0.99015,0.44,0.032,0
1,11.4,0.99598,0.39,0.075,0
0,10.9,0.99234,0.21,0.045,0
0,11.9,0.9906,0.55,0.034,1
1,10.3,0.99546,0.68,0.07,1
0,9.2,0.9968,0.34,0.069,1
1,9.4,0.99694,0.685,0.088,1
0,12.0,0.9926,0.31,0.031,0
0,10.5,0.9922,0.415,0.04,1
0,9.3,0.99469,0.14,0.045,1
1,12.8,0.9921,0.47,0.034,0
0,11.6,0.993,0.39,0.03,1
0,11.7,0.98986,0.12,0.031,0
0,8.7,1.001,0.28,0.048,1
0,9.9,0.9934,0.155,0.045,0
0,10.8,0.9965,0.28,0.039,1
0,11.7,0.99098,0.24,0.039,0
1,10.2,0.9988,0.46,0.071,1
1,11.0,0.99645,0.36,0.087,1
0,12.1,0.99186,0.37,0.038,1
0,10.9,0.99218,0.27,0.034,0
1,11.6,0.99374,0.58,0.062,0
0,10.4,0.9954,0.31,0.038,0
0,11.3,0.99096,0.15,0.035,0
0,12.9,0.99,0.17,0.04,0
0,10.5,0.99212,0.335,0.036,1
1,9.8,0.9997,0.28,0.082,0
0,8.7,0.9984,0.16,0.05,0
0,9.2,0.9982,0.24,0.035,1
1,9.8,0.9982,0.39,0.118,0
1,9.2,0.9976,0.675,0.084,1
0,10.4,0.99268,0.6,0.05,1
0,12.9,0.9892,0.23,0.022,0
0,12.4,0.98964,0.16,0.036,0
1,9.5,0.9964,0.705,0.36,1
1,9.5,0.99745,0.6,0.076,1
0,11.8,0.9923,0.28,0.029,0
0,9.0,0.9932,0.45,0.051,1
0,11.9,0.98939,0.17,0.034,0
0,12.4,0.9893,0.28,0.028,0
0,8.7,0.9974,0.43,0.045,1
1,9.2,0.9974,0.55,0.074,1
0,12.1,0.99254,0.26,0.028,0
1,12.3,0.99354,0.28,0.067,0
0,11.1,0.99072,0.17,0.028,0
0,10.5,0.99691,0.24,0.04,0
1,9.5,1.0004,0.39,0.091,1
0,10.3,0.9918,0.185,0.03,0
0,12.2,0.9914,0.18,0.04,0
0,11.5,0.9932,0.19,0.036,0
0,10.5,0.99202,0.2,0.03,0
0,9.4,0.9966,0.36,0.046,1
1,9.4,0.99693,0.36,0.08,1
0,11.5,0.99098,0.22,0.046,1
1,13.0,0.9924,0.835,0.046,0
0,11.2,0.99094,0.1,0.031,0
1,11.8,0.99451,0.26,0.083,0
0,9.1,0.9958,0.32,0.053,1
1,9.2,0.9954,0.31,0.074,1
